condition,metric,base_mean,exp_mean,mean_difference,percent_change,p_value,effect_size
Basic Universalization,survival_rate,0.0,30.0,30.0,inf,4.911382099798615e-06,0.9180725150319788
Basic Universalization,survival_time,1.3666666666666667,5.3,3.933333333333333,287.8048780487805,7.602703042909089e-08,1.1142029900152242
Basic Universalization,gain,21.420000000000005,47.89,26.469999999999995,123.57609710550881,4.93988145498722e-07,1.02858662734726
Basic Universalization,efficiency,17.85,39.90833333333333,22.05833333333333,123.57609710550884,4.93988145498722e-07,1.0285866273472601
Basic Universalization,equality,76.9632384050198,77.85705537849812,0.893816973478323,1.161355722552373,0.7589680975570017,0.056151293314652205
Basic Universalization,over_usage,75.66666666666667,34.8040404040404,-40.86262626262627,-54.00347083166467,2.8366105402244783e-13,-1.5367690323886458
Alternative Universalization,survival_rate,0.0,17.77777777777778,17.77777777777778,inf,0.0035183501190821204,0.6502482778314933
Alternative Universalization,survival_time,1.488888888888889,3.8222222222222224,2.3333333333333335,156.71641791044777,0.0004701856386950975,0.7919941554279611
Alternative Universalization,gain,21.89333333333333,36.46222222222222,14.568888888888893,66.54486398700774,0.0003644059719896436,0.8109583544148757
Alternative Universalization,efficiency,18.244444444444444,30.385185185185183,12.140740740740739,66.5448639870077,0.0003644059719896465,0.8109583544148755
Alternative Universalization,equality,77.55098454002638,83.48551131769818,5.934526777671806,7.652419647372523,0.03587301521305223,0.45004139355378425
Alternative Universalization,over_usage,74.22222222222223,59.57037037037037,-14.651851851851859,-19.740518962075857,0.021379644422765274,-0.4961020365652333
Systemic,survival_rate,0.0,8.88888888888889,8.88888888888889,inf,0.044169729275239954,0.43679046218876916
Systemic,survival_time,1.488888888888889,3.111111111111111,1.6222222222222222,108.95522388059702,0.003242983543704892,0.6526441560977133
Systemic,gain,21.89333333333333,33.071111111111115,11.177777777777784,51.05562322371095,0.005288765599820307,0.6170973856210878
Systemic,efficiency,18.244444444444444,27.559259259259257,9.314814814814813,51.05562322371091,0.005288765599820347,0.6170973856210873
Systemic,equality,77.55098454002638,83.46791771699816,5.9169331769717814,7.629733151766597,0.03438914845805376,0.4539741103968806
Systemic,over_usage,74.22222222222223,67.35555555555555,-6.866666666666674,-9.251497005988034,0.2049649671592684,-0.2694074620046827
Veil of Ignorance,survival_rate,0.0,2.2222222222222223,2.2222222222222223,inf,0.3227784787543093,0.21081851067789198
Veil of Ignorance,survival_time,1.488888888888889,1.7777777777777777,0.28888888888888875,19.402985074626855,0.38211160107653297,0.18567768773609278
Veil of Ignorance,gain,21.89333333333333,24.244444444444444,2.3511111111111127,10.738936256597654,0.15895752658076953,0.3008575025640983
Veil of Ignorance,efficiency,18.244444444444444,20.2037037037037,1.9592592592592553,10.738936256597624,0.15895752658077064,0.3008575025640975
Veil of Ignorance,equality,77.55098454002638,84.31428072899003,6.7632961889636505,8.72109648778593,0.015434471873416665,0.5222634590126571
Veil of Ignorance,over_usage,74.22222222222223,80.67407407407407,6.451851851851842,8.692614770459068,0.19587602127478426,0.2748313723838905
